StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent form ,khonest,Ksin,Keth,Klike,Kapp,Kconf,Shon,Ssin,Sethic,Slike,Sapp,minsmart,minbetter,mincreative,minrather,minshould,minregard,mintyp,minkeep,minget,Hhon,Hsin,Seth,Hlike,Happ,Hcon,Fhin,Fsin,Feth,Flike,Fapp,modsmart,modbett,modcreat,modrath,modshou,modreg,modtyp,modkeep,modget,XHHON,XSIN,XETH,XLIKE,XAPP,XCON,yhon,Ysin,Yeth,Ylike,Yapp,Majsmart,majbet,majcreat,majrath,majshould,majreg,majtyp,majkeep,majget,attention1,gender identity,Q78,education,old,country,lang,Q_RecaptchaStatus
1/28/2026 16:03,1/28/2026 16:05,100,130,TRUE,1/28/2026 16:05,R_6f96OT4bRw5wPd0,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
1/28/2026 18:17,1/28/2026 18:25,100,450,TRUE,1/28/2026 18:25,R_962A3JhGsiyDYsN,anonymous,EN,1,"Yes, I consent",2 = somewhat dishonest,4 = somewhat sincere,2 = somewhat unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,neither reported (K) nor reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),2 = somewhat dishonest,4 = somewhat sincere,1 = very unethical,1 = very unlikeable,3 = neither approachable nor unapproachable,2 = somewhat confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Female,,"Doctoral Degree (e.g. Ph.D., M.D., J.D., or equivalent)",26,India,"English and Hindi
",complete
1/28/2026 18:18,1/28/2026 18:26,100,478,TRUE,1/28/2026 18:26,R_4wjtaCoMLLd0sCZ,anonymous,EN,1,"Yes, I consent",3 = neither honest nor dishonest,4 = somewhat sincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,3 = could go either way,4 = somewhat honest,4 = somewhat sincere,2 = somewhat unethical,4 = somewhat likeable,4 = somewhat approachable,reported researcher (K),reporting researcher (S),neither reported (K) nor reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),reporting researcher (S),reported researcher (K),reporting researcher (S),reported researcher (K),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,2 = somewhat confident the findings are false,4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (H) nor reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),4 = somewhat honest,3 = neither sincere nor insincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,4 = somewhat approachable,3 = could go either way,3 = neither honest nor dishonest,1 = very insincere,2 = somewhat unethical,1 = very unlikeable,2 = somewhat unapproachable,reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Female,,Some college credit or technical school degree,20,India ,Tamil ,complete
1/28/2026 18:18,1/28/2026 18:28,100,568,TRUE,1/28/2026 18:28,R_9QgEoPt1JWArQjj,anonymous,EN,1,"Yes, I consent",2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,1 = very unlikeable,2 = somewhat unapproachable,2 = somewhat confident the findings are false,1 = very dishonest,1 = very insincere,2 = somewhat unethical,2 = somewhat unlikeable,1 = very unapproachable,reported researcher (K),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),reported researcher (K),1 = very dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,1 = very unapproachable,1 = very confident the findings are false,1 = very dishonest,2 = somewhat insincere,2 = somewhat unethical,1 = very unlikeable,1 = very unapproachable,neither reported (H) nor reporting researcher (F),reported researcher (H),reported researcher (H),neither reported (H) nor reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),reported researcher (H),1 = very dishonest,1 = very insincere,1 = very unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,3 = could go either way,5 = very honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),reported researcher (X),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reported researcher (X),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Male,,High School Diploma or GED,35,Indii,Hindi ,complete
1/28/2026 18:25,1/28/2026 18:30,100,273,TRUE,1/28/2026 18:30,R_4pYD72qr4oFjCIg,anonymous,EN,0.699999988,"Yes, I consent",3 = neither honest nor dishonest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,2 = somewhat unapproachable,2 = somewhat confident the findings are false,3 = neither honest nor dishonest,4 = somewhat sincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),3 = neither honest nor dishonest,2 = somewhat insincere,1 = very unethical,1 = very unlikeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,1 = very dishonest,3 = neither sincere nor insincere,1 = very unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,reporting researcher (F),reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),2 = somewhat dishonest,4 = somewhat sincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,2 = somewhat confident the findings are false,3 = neither honest nor dishonest,3 = neither sincere nor insincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reported researcher (X),Neither agree nor disagree,Male,,Bachelor’s Degree,35,Indian,Telugu,complete
1/28/2026 18:26,1/28/2026 18:34,100,456,TRUE,1/28/2026 18:34,R_9lXpISa0xDVj8JU,anonymous,EN,1,"Yes, I consent",1 = very dishonest,3 = neither sincere nor insincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,4 = somewhat likeable,5 = very approachable,reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),reported researcher (K),1 = very dishonest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,5 = very approachable,5 = very confident the findings are true,4 = somewhat honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),1 = very dishonest,2 = somewhat insincere,5 = very ethical,5 = very likeable,5 = very approachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,4 = somewhat sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (X),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Male,,Bachelor’s Degree,25,Indian ,Hindi ,complete
1/28/2026 18:20,1/28/2026 18:36,100,974,TRUE,1/28/2026 18:36,R_4CQgYLFJolx7jiN,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (K),reported researcher (K),reported researcher (K),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (X),reported researcher (X),reporting researcher (Y),reported researcher (X),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reported researcher (X),Somewhat disagree,Male,,Master’s Degree,1990,India,"English, Tamil and Malayalam ",complete
1/28/2026 18:32,1/28/2026 18:45,100,777,TRUE,1/28/2026 18:45,R_94CQlqXFxOxBUKB,anonymous,EN,0.699999988,"Yes, I consent",3 = neither honest nor dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,4 = somewhat approachable,2 = somewhat confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Male,,Bachelor’s Degree,31,India ,English ,complete
1/28/2026 18:50,1/28/2026 18:55,100,276,TRUE,1/28/2026 18:55,R_9CG2ndW6m1U4Zsl,anonymous,EN,0.699999988,"Yes, I consent",5 = very honest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,5 = very approachable,3 = could go either way,4 = somewhat honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,reported researcher (K),reporting researcher (S),reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),reported researcher (K),5 = very honest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,4 = somewhat approachable,5 = very confident the findings are true,4 = somewhat honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,reported researcher (H),neither reported (H) nor reporting researcher (F),reporting researcher (F),reported researcher (H),reported researcher (H),neither reported (H) nor reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),5 = very honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,5 = very honest,4 = somewhat sincere,4 = somewhat ethical,5 = very likeable,4 = somewhat approachable,reported researcher (X),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reporting researcher (Y),reported researcher (X),neither reported (X) nor reporting researcher (Y),Somewhat disagree,Male,,"Doctoral Degree (e.g. Ph.D., M.D., J.D., or equivalent)",21,India,"English, hindi",complete
1/28/2026 18:46,1/28/2026 19:04,100,1092,TRUE,1/28/2026 19:04,R_9R1ufZ2IqqcyolH,anonymous,EN,1,"Yes, I consent",4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,2 = somewhat insincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,neither reported (K) nor reporting researcher (S),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),2 = somewhat dishonest,4 = somewhat sincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,3 = could go either way,4 = somewhat honest,3 = neither sincere nor insincere,3 = neither ethical nor unethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),5 = very honest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,2 = somewhat insincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Female,,Master’s Degree,30,India ,"Hindi,English ",complete
