StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent form ,khon,Ksin,Keth,Klike,Kapp,Kcon,Shon,Ssin,Seth,Slike,Sapp,minsmart,minbetter,mincreative,minrather,minshould,minregard,mintyp,minkeep,minget,Hhon,Hsin,Heth,Hlike,Happ,Hcon,Fhon,Fsin,Feth,Flike,Fapp,modsmart,modbett,modcreat,modrath,modshou,modreg,modtyp,modkeep,modget,Xhon,Xsin,XETH,XLIKE,XAPP,XCON,yhon,Ysin,Yeth,Ylike,Yapp,Majsmart,majbet,majcreat,majrath,majshould,majreg,majtyp,majkeep,majget,attention1,ethnic,race,race other,gender identity,Q78,education,political,sex orientation,Q92,old,religion,religion other,id
1/26/2026 22:38,1/26/2026 22:38,100,7,TRUE,1/26/2026 22:38,R_6mpUC6SI9Qz1A2a,,,,,33.1669,-87.5064,preview,EN,,"No, I will leave the survey now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2026 23:14,1/26/2026 23:15,100,12,TRUE,1/26/2026 23:15,R_6I4eYwRzkOiMPtP,,,,,33.1669,-87.5064,preview,EN,,"No, I will leave the survey now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2026 23:15,1/26/2026 23:18,100,209,TRUE,1/26/2026 23:18,R_6nOc4py8rEdSFgu,,,,,33.1669,-87.5064,preview,EN,,"Yes, I consent",2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,2 = somewhat dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,reported researcher (K),reported researcher (K),neither reported (K) nor reporting researcher (S),reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,1 = very unlikeable,1 = very unapproachable,2 = somewhat confident the findings are false,3 = neither honest nor dishonest,2 = somewhat insincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),1 = very dishonest,5 = very sincere,1 = very unethical,1 = very unlikeable,2 = somewhat unapproachable,1 = very confident the findings are false,4 = somewhat honest,2 = somewhat insincere,2 = somewhat unethical,1 = very unlikeable,1 = very unapproachable,reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),Somewhat disagree,No,Other,,Other,,Master’s Degree,Lean Conservative,Queer,,19,Not Affiliated,,
1/27/2026 22:52,1/27/2026 23:05,100,813,TRUE,1/27/2026 23:05,R_1kWnphloUO7A7Tj,,,,,33.2,-87.56,anonymous,EN,1,"Yes, I consent",3 = neither honest nor dishonest,2 = somewhat insincere,1 = very unethical,3 = neither likeable nor unlikeable,2 = somewhat unapproachable,3 = could go either way,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,2 = somewhat confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,No,White,,Female,,High School Diploma or GED,Conservative,Heterosexual/straight,,18,Protestantism (Christian),,81284
1/27/2026 22:54,1/27/2026 23:07,100,768,TRUE,1/27/2026 23:07,R_5lX85aTYV0koeHL,,,,,33.2683,-87.583,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,3 = could go either way,5 = very honest,5 = very sincere,5 = very ethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,3 = neither approachable nor unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,3 = neither approachable nor unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,No,White,,Female,,High School Diploma or GED,Strongly Liberal,Prefer not to say,,18,Not Affiliated,,81783
1/27/2026 22:50,1/27/2026 23:08,100,1080,TRUE,1/27/2026 23:08,R_1fs9EL5QZj1yBtB,,,,,33.2,-87.56,anonymous,EN,1,"Yes, I consent",2 = somewhat dishonest,2 = somewhat insincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,3 = could go either way,4 = somewhat honest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,reported researcher (K),reported researcher (K),reported researcher (K),neither reported (K) nor reporting researcher (S),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),2 = somewhat dishonest,2 = somewhat insincere,1 = very unethical,1 = very unlikeable,2 = somewhat unapproachable,2 = somewhat confident the findings are false,5 = very honest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,2 = somewhat unapproachable,1 = very confident the findings are false,5 = very honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,No,White,,Female,,Some college credit or technical school degree,Centrist,Heterosexual/straight,,19,Catholicism,,80934
1/27/2026 22:48,1/27/2026 23:08,100,1215,TRUE,1/27/2026 23:08,R_1KxRlZEv9hfHRfX,,,,,33.2,-87.56,anonymous,EN,1,"Yes, I consent",4 = somewhat honest,4 = somewhat sincere,2 = somewhat unethical,3 = neither likeable nor unlikeable,5 = very approachable,4 = somewhat confident the findings are true,4 = somewhat honest,4 = somewhat sincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,reporting researcher (S),reported researcher (K),reported researcher (K),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),2 = somewhat dishonest,3 = neither sincere nor insincere,2 = somewhat unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,3 = could go either way,4 = somewhat honest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,2 = somewhat unapproachable,reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,2 = somewhat confident the findings are false,4 = somewhat honest,4 = somewhat sincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reported researcher (X),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,No,White,,Male,,Some college credit or technical school degree,Lean Conservative,Heterosexual/straight,,18,Catholicism,,81437
1/28/2026 6:46,1/28/2026 6:53,100,452,TRUE,1/28/2026 6:53,R_796yrsqRk9MV76s,,,,,33.2,-87.56,anonymous,EN,1,"Yes, I consent",3 = neither honest nor dishonest,2 = somewhat insincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,1 = very insincere,2 = somewhat unethical,1 = very unlikeable,2 = somewhat unapproachable,reported researcher (K),reported researcher (K),reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),3 = neither honest nor dishonest,3 = neither sincere nor insincere,2 = somewhat unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,3 = neither sincere nor insincere,4 = somewhat ethical,2 = somewhat unlikeable,4 = somewhat approachable,neither reported (H) nor reporting researcher (F),reported researcher (H),reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),1 = very dishonest,3 = neither sincere nor insincere,1 = very unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,2 = somewhat confident the findings are false,5 = very honest,3 = neither sincere nor insincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,4 = somewhat approachable,reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,No,Other,mixed,Female,,High School Diploma or GED,Centrist,Heterosexual/straight,,18,Catholicism,,81079
1/28/2026 6:48,1/28/2026 7:04,100,922,TRUE,1/28/2026 7:04,R_6F4YVdn7R6UEWPJ,,,,,33.2,-87.56,anonymous,EN,1,"Yes, I consent",2 = somewhat dishonest,4 = somewhat sincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,3 = could go either way,4 = somewhat honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),reporting researcher (S),4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,reported researcher (X),reported researcher (X),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reporting researcher (Y),reported researcher (X),reporting researcher (Y),Somewhat disagree,No,Black or African-American,,Female,,High School Diploma or GED,Conservative,Heterosexual/straight,,19,Protestantism (Christian),,81441
1/28/2026 7:21,1/28/2026 7:30,100,508,TRUE,1/28/2026 7:30,R_6JdQhOKMuynm9Yk,,,,,33.2,-87.56,anonymous,EN,1,"Yes, I consent",3 = neither honest nor dishonest,4 = somewhat sincere,2 = somewhat unethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,3 = could go either way,5 = very honest,4 = somewhat sincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,2 = somewhat unapproachable,neither reported (K) nor reporting researcher (S),reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),1 = very dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,1 = very confident the findings are false,4 = somewhat honest,3 = neither sincere nor insincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,2 = somewhat unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,No,White,,Female,,Some college credit or technical school degree,Lean Conservative,Heterosexual/straight,,20,Catholicism,,81453
